,2014 offence or offence category,2014 recorded cases,2014 clearance rate %,2015 offence or offence category,2015 recorded cases,2015 clearance rate %,2016 offence or offence category,2016 recorded cases,2016 clearance rate %,2017 offence or offence category,2017 recorded cases,2017 clearance rate %,2018 offence or offence category,2018 recorded cases,2018 clearance rate %,2019 offence or offence category,2019 recorded cases,2019 clearance rate %,2020 offence or offence category,2020 recorded cases,2020 clearance rate %,2021 offence or offence category,2021 recorded cases,2021 clearance rate %,2022 offence or offence category,2022 recorded cases,2022 clearance rate %,2023 offence or offence category,2023 recorded cases,2023 clearance rate %
734,8318.0,0.1,1588.0,7518.0,0.1,1513.0,0.0,0.0,0.0,2785.0,0.0,811.0,213748.0,3.8,65406.0,214462.0,3.9,64891.0,208794.0,3.9,62993.0,5053.0,0.1,918.0,79,0.0,25,2935.0,0.04940522671949126,765.0
735,77.0,0.0,20.0,102.0,0.0,26.0,0.0,0.0,0.0,630.0,0.0,186.0,3840.0,0.1,1036.0,4321.0,0.1,1063.0,4733.0,0.1,1227.0,4188.0,0.1,739.0,3007,0.1,823,16703.0,0.2811637144448595,4734.0
736,98.0,0.0,27.0,83.0,0.0,23.0,12149.0,0.2,2500.0,7162.0,0.1,2216.0,209908.0,3.8,64370.0,210141.0,3.9,63828.0,204061.0,3.8,61766.0,865.0,0.0,179.0,17156,0.3,5106,1233.0,0.02075524516018151,283.0
737,92.0,0.0,27.0,77.0,0.0,21.0,909.0,0.0,206.0,27.0,0.0,4.0,2875.0,0.1,438.0,3183.0,0.1,515.0,3770.0,0.1,662.0,137613.0,2.7,40976.0,632,0.0,166,775.0,0.013045673154209788,132.0
738,6.0,0.0,0.0,6.0,0.0,2.0,885.0,0.0,201.0,210632.0,3.7,64482.0,2216.0,0.0,317.0,2499.0,0.0,362.0,3100.0,0.1,502.0,122111.0,2.4,36004.0,721,0.0,108,140.0,0.002356637731083058,33.0
739,482.0,0.0,103.0,402.0,0.0,84.0,24.0,0.0,5.0,4192.0,0.1,1242.0,659.0,0.0,121.0,684.0,0.0,153.0,670.0,0.0,160.0,47411.0,0.9,12103.0,114,0.0,21,47.0,0.000791156952577884,12.0
740,0.0,0.0,0.0,0.0,0.0,0.0,2563.0,0.0,544.0,206440.0,3.6,63240.0,138419.0,2.5,42207.0,137748.0,2.5,42273.0,142058.0,2.7,42070.0,9386.0,0.2,2920.0,68,0.0,12,14.0,0.00023566377310830586,1.0
741,0.0,0.0,0.0,0.0,0.0,0.0,2538.0,0.0,538.0,3596.0,0.1,594.0,121904.0,2.2,36672.0,122128.0,2.2,37137.0,126438.0,2.4,37056.0,65314.0,1.3,20981.0,4,0.0,2,2278.0,0.03834586251005148,737.0
742,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,6.0,2608.0,0.0,397.0,49801.0,0.9,12559.0,47671.0,0.9,12399.0,52717.0,1.0,13016.0,15486.0,0.3,4967.0,2156,0.0,638,76.0,0.0012793176254450888,24.0
743,482.0,0.0,103.0,402.0,0.0,84.0,127.0,0.0,32.0,988.0,0.0,197.0,8835.0,0.2,3014.0,8917.0,0.2,2828.0,9563.0,0.2,3035.0,2938.0,0.1,951.0,80,0.0,28,9242.0,0.15557175650478305,2788.0
744,475.0,0.0,102.0,391.0,0.0,80.0,126.0,0.0,31.0,150963.0,2.6,46465.0,63268.0,1.1,21099.0,65540.0,1.2,21910.0,64158.0,1.2,21005.0,816.0,0.0,284.0,8933,0.2,2665,26.0,0.0004376612929154252,3.0
745,7.0,0.0,1.0,11.0,0.0,4.0,1.0,0.0,1.0,133465.0,2.3,40621.0,16499.0,0.3,5532.0,15591.0,0.3,5128.0,15560.0,0.3,4989.0,11732.0,0.2,3732.0,26,0.0,2,2580.0,0.04342946675853065,871.0
746,117.0,0.0,21.0,108.0,0.0,32.0,23.0,0.0,15.0,54557.0,0.9,14443.0,2930.0,0.1,988.0,3018.0,0.1,1096.0,3134.0,0.1,1015.0,16.0,0.0,5.0,2491,0.0,795,1110.0,0.018684770582158537,265.0
747,14.0,0.0,2.0,14.0,0.0,10.0,17.0,0.0,9.0,9530.0,0.2,3010.0,826.0,0.0,317.0,815.0,0.0,291.0,831.0,0.0,292.0,468.0,0.0,107.0,1043,0.0,308,237784.0,4.002648187484671,70229.0
748,14.0,0.0,2.0,14.0,0.0,10.0,6.0,0.0,6.0,69378.0,1.2,23168.0,12743.0,0.2,4227.0,11758.0,0.2,3741.0,11595.0,0.2,3682.0,7.0,0.0,3.0,234799,4.2,69867,177215.0,2.983082539384887,50720.0
749,0.0,0.0,0.0,0.0,0.0,0.0,7528.0,0.1,1510.0,17474.0,0.3,5841.0,16.0,0.0,3.0,29.0,0.0,8.0,60.0,0.0,25.0,461.0,0.0,104.0,178506,3.2,51641,12551.0,0.2112725725915962,3751.0
750,103.0,0.0,19.0,94.0,0.0,22.0,7407.0,0.1,1477.0,3282.0,0.1,1107.0,338.0,0.0,91.0,389.0,0.0,116.0,501.0,0.0,124.0,1540.0,0.0,525.0,12573,0.2,3829,20709.0,0.34859721980713615,6081.0
751,95.0,0.0,17.0,83.0,0.0,16.0,7311.0,0.1,1453.0,938.0,0.0,350.0,4.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,19062,0.3,5586,117.0,0.0019694758181194134,28.0
752,8.0,0.0,2.0,11.0,0.0,6.0,96.0,0.0,24.0,13254.0,0.2,4384.0,334.0,0.0,91.0,384.0,0.0,115.0,495.0,0.0,123.0,1527.0,0.0,522.0,155,0.0,44,27192.0,0.45772637988293235,9649.0
753,46.0,0.0,9.0,28.0,0.0,8.0,121.0,0.0,33.0,24.0,0.0,3.0,1695.0,0.0,473.0,1709.0,0.0,500.0,1753.0,0.0,507.0,0.0,0.0,0.0,24503,0.4,8767,23740.0,0.39961842668508435,8519.0
754,42.0,0.0,7.0,23.0,0.0,6.0,115.0,0.0,32.0,346.0,0.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,21861,0.4,7892,1340.0,0.022556389711794987,442.0
755,4.0,0.0,2.0,5.0,0.0,2.0,6.0,0.0,1.0,1.0,0.0,0.0,1672.0,0.0,466.0,1691.0,0.0,497.0,1731.0,0.0,502.0,3.0,0.0,1.0,1116,0.0,373,2102.0,0.03538323221954707,682.0
756,430.0,0.0,61.0,412.0,0.0,60.0,415.0,0.0,94.0,345.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1518,0.0,498,10.0,0.00016833126650593277,6.0
757,131.0,0.0,19.0,100.0,0.0,20.0,0.0,0.0,0.0,1608.0,0.0,402.0,22.0,0.0,7.0,17.0,0.0,3.0,19.0,0.0,5.0,11563.0,0.2,2416.0,8,0.0,4,556189.0,9.362399878666823,159286.0
758,130.0,0.0,19.0,98.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,996.0,0.0,240.0,568887,10.1,168073,213379.0,3.5918357315769422,59393.0
759,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1591.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.0,0.0,221.0,212987,3.8,60063,40604.0,0.6834922745206894,10035.0
760,270.0,0.0,38.0,267.0,0.0,32.0,415.0,0.0,94.0,0.0,0.0,0.0,11296.0,0.2,2193.0,11709.0,0.2,2272.0,11642.0,0.2,2381.0,40.0,0.0,19.0,42464,0.8,11106,13709.0,0.2307653332529832,3891.0
761,268.0,0.0,37.0,265.0,0.0,31.0,408.0,0.0,94.0,14.0,0.0,0.0,909.0,0.0,208.0,863.0,0.0,168.0,926.0,0.0,171.0,2420.0,0.0,503.0,12915,0.2,3654,159066.0,2.67757812380327,45467.0
762,2.0,0.0,1.0,2.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,1.0,889.0,0.0,206.0,845.0,0.0,166.0,897.0,0.0,168.0,2400.0,0.0,500.0,157608,2.8,45303,9406.0,0.15833238927548035,2449.0
763,29.0,0.0,4.0,45.0,0.0,8.0,112.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,2.0,18.0,0.0,2.0,29.0,0.0,3.0,20.0,0.0,3.0,10996,0.2,3081,2559.0,0.04307597109886819,615.0
764,28.0,0.0,4.0,45.0,0.0,8.0,11.0,0.0,4.0,11338.0,0.2,2258.0,2304.0,0.0,461.0,2364.0,0.0,540.0,2463.0,0.0,508.0,75.0,0.0,11.0,3172,0.1,823,720.0,0.012119851188427158,240.0
765,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,886.0,0.0,193.0,2285.0,0.0,455.0,2337.0,0.0,530.0,2444.0,0.0,504.0,73.0,0.0,11.0,812,0.0,273,6127.0,0.10313656698818499,1594.0
766,148.0,0.0,10.0,94.0,0.0,8.0,0.0,0.0,0.0,867.0,0.0,190.0,19.0,0.0,6.0,27.0,0.0,10.0,19.0,0.0,4.0,2.0,0.0,0.0,7012,0.1,1985,29.0,0.000488160672867205,8.0
767,8.0,0.0,2.0,5.0,0.0,1.0,101.0,0.0,16.0,19.0,0.0,3.0,93.0,0.0,31.0,126.0,0.0,36.0,73.0,0.0,14.0,19.0,0.0,0.0,29,0.0,5,197535.0,3.3251316729249427,57958.0
768,11887.0,0.2,3209.0,9629.0,0.2,1684.0,98.0,0.0,15.0,2303.0,0.0,491.0,93.0,0.0,31.0,124.0,0.0,36.0,73.0,0.0,14.0,19.0,0.0,0.0,199031,3.5,60429,3376.0,0.0568286355724029,994.0
769,9963.0,0.2,2604.0,8778.0,0.1,1542.0,3.0,0.0,1.0,2275.0,0.0,486.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4234,0.1,1227,194159.0,3.26830303735254,56964.0
770,147.0,0.0,33.0,113.0,0.0,25.0,19.0,0.0,4.0,28.0,0.0,5.0,14.0,0.0,2.0,9.0,0.0,4.0,18.0,0.0,1.0,7550.0,0.1,1561.0,194797,3.5,59202,2293.0,0.03859835940981038,436.0
771,1777.0,0.0,572.0,738.0,0.0,117.0,17.0,0.0,4.0,135.0,0.0,38.0,14.0,0.0,2.0,9.0,0.0,4.0,17.0,0.0,1.0,7515.0,0.1,1554.0,3451,0.1,710,1980.0,0.03332959076817468,363.0
772,11.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,0.0,131.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7321.0,0.1,1491.0,2905,0.1,579,313.0,0.005268768641635695,73.0
773,7.0,0.0,1.0,6.0,0.0,0.0,370.0,0.0,66.0,4.0,0.0,3.0,7415.0,0.1,1353.0,7662.0,0.1,1393.0,7536.0,0.1,1558.0,194.0,0.0,63.0,546,0.0,131,133005.0,2.2388900101621587,38882.0
774,4.0,0.0,2.0,6.0,0.0,0.0,91.0,0.0,13.0,22.0,0.0,8.0,7340.0,0.1,1327.0,7569.0,0.1,1363.0,7484.0,0.1,1539.0,35.0,0.0,7.0,141960,2.5,43685,119824.0,2.017012567780689,34736.0
775,518308.0,8.5,140086.0,767424.0,12.1,204644.0,90.0,0.0,12.0,22.0,0.0,8.0,7252.0,0.1,1310.0,7446.0,0.1,1329.0,7324.0,0.1,1484.0,33.0,0.0,7.0,125927,2.2,38597,48065.0,0.8090842324607658,11066.0
776,24009.0,0.4,6366.0,21346.0,0.3,5265.0,1.0,0.0,1.0,0.0,0.0,0.0,88.0,0.0,17.0,123.0,0.0,34.0,160.0,0.0,55.0,2.0,0.0,0.0,48854,0.9,12719,10618.0,0.17873413877599942,3618.0
777,6647.0,0.1,1868.0,6791.0,0.1,1840.0,231.0,0.0,49.0,7345.0,0.1,1394.0,75.0,0.0,26.0,93.0,0.0,30.0,52.0,0.0,19.0,312.0,0.0,68.0,10551,0.2,3369,61141.0,1.0291941965439235,20052.0
778,14.0,0.0,6.0,7.0,0.0,0.0,227.0,0.0,49.0,7285.0,0.1,1376.0,72.0,0.0,25.0,92.0,0.0,29.0,48.0,0.0,19.0,0.0,0.0,0.0,66522,1.2,22509,13161.0,0.2215407798484581,4141.0
779,34.0,0.0,6.0,57.0,0.0,9.0,4.0,0.0,0.0,7178.0,0.1,1347.0,3.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,16019,0.3,5083,2749.0,0.04627426516248091,802.0
780,210.0,0.0,68.0,230.0,0.0,67.0,48.0,0.0,4.0,107.0,0.0,29.0,302.0,0.0,76.0,350.0,0.0,72.0,319.0,0.0,80.0,0.0,0.0,0.0,2934,0.1,887,898.0,0.01511614773223276,293.0
781,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,4.0,60.0,0.0,18.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,312.0,0.0,68.0,963,0.0,334,9514.0,0.1601503669537444,3046.0
782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,17.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,309.0,0.0,67.0,12122,0.2,3862,20.0,0.00033666253301186554,5.0
783,0.0,0.0,0.0,2.0,0.0,0.0,83.0,0.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,14,0.0,5,542.0,0.009123554644621555,160.0
