Tabelle: 12711-0002
Total migration across the borders of the Länder: Germany,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
years, nationality, sex, age years;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Migration statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Germans;;;;;;;;;;;;;;;;;;Foreigners;;;;;;;;;;;;;;;;;;Total;;;;;;;;;;;;;;;;;
;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;;Male;;;;;;Female;;;;;;Total;;;;;
;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;;Arrivals;;Departures;;Migration balance;
;;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number;number
;48 years;5273;e;5758;e;-485;e;4301;e;4682;e;-381;e;9574;e;10440;e;-866;e;5724;e;6759;e;-1035;e;2719;e;2825;e;-106;e;8443;e;9584;e;-1141;e;10997;e;12517;e;-1520;e;7020;e;7507;e;-487;e;18017;e;20024;e;-2007;e
;49 years;4952;e;5405;e;-453;e;4101;e;4437;e;-336;e;9053;e;9842;e;-789;e;5462;e;6405;e;-943;e;2551;e;2520;e;31;e;8013;e;8925;e;-912;e;10414;e;11810;e;-1396;e;6652;e;6957;e;-305;e;17066;e;18767;e;-1701;e
;50 years;4369;e;4700;e;-331;e;3635;e;3910;e;-275;e;8004;e;8610;e;-606;e;4861;e;5816;e;-955;e;2327;e;2447;e;-120;e;7188;e;8263;e;-1075;e;9230;e;10516;e;-1286;e;5962;e;6357;e;-395;e;15192;e;16873;e;-1681;e
;51 years;4030;e;4308;e;-278;e;3359;e;3573;e;-214;e;7389;e;7881;e;-492;e;4522;e;5529;e;-1007;e;2249;e;2399;e;-150;e;6771;e;7928;e;-1157;e;8552;e;9837;e;-1285;e;5608;e;5972;e;-364;e;14160;e;15809;e;-1649;e
;52 years;3780;e;4039;e;-259;e;3175;e;3377;e;-202;e;6955;e;7416;e;-461;e;4267;e;5204;e;-937;e;2062;e;2264;e;-202;e;6329;e;7468;e;-1139;e;8047;e;9243;e;-1196;e;5237;e;5641;e;-404;e;13284;e;14884;e;-1600;e
;53 years;3425;e;3717;e;-292;e;2941;e;3076;e;-135;e;6366;e;6793;e;-427;e;3851;e;4668;e;-817;e;1958;e;2069;e;-111;e;5809;e;6737;e;-928;e;7276;e;8385;e;-1109;e;4899;e;5145;e;-246;e;12175;e;13530;e;-1355;e
;54 years;3247;e;3422;e;-175;e;2726;e;2810;e;-84;e;5973;e;6232;e;-259;e;3363;e;4151;e;-788;e;1873;e;2052;e;-179;e;5236;e;6203;e;-967;e;6610;e;7573;e;-963;e;4599;e;4862;e;-263;e;11209;e;12435;e;-1226;e
;55 years;2971;e;3216;e;-245;e;2620;e;2768;e;-148;e;5591;e;5984;e;-393;e;2898;e;3653;e;-755;e;1645;e;1850;e;-205;e;4543;e;5503;e;-960;e;5869;e;6869;e;-1000;e;4265;e;4618;e;-353;e;10134;e;11487;e;-1353;e
;56 years;2843;e;3033;e;-190;e;2502;e;2593;e;-91;e;5345;e;5626;e;-281;e;2400;e;3113;e;-713;e;1530;e;1796;e;-266;e;3930;e;4909;e;-979;e;5243;e;6146;e;-903;e;4032;e;4389;e;-357;e;9275;e;10535;e;-1260;e
;57 years;2727;e;2911;e;-184;e;2226;e;2371;e;-145;e;4953;e;5282;e;-329;e;2157;e;2785;e;-628;e;1374;e;1722;e;-348;e;3531;e;4507;e;-976;e;4884;e;5696;e;-812;e;3600;e;4093;e;-493;e;8484;e;9789;e;-1305;e
;58 years;2625;e;2725;e;-100;e;2412;e;2499;e;-87;e;5037;e;5224;e;-187;e;1824;e;2425;e;-601;e;1351;e;1713;e;-362;e;3175;e;4138;e;-963;e;4449;e;5150;e;-701;e;3763;e;4212;e;-449;e;8212;e;9362;e;-1150;e
;59 years;2525;e;2591;e;-66;e;2278;e;2315;e;-37;e;4803;e;4906;e;-103;e;1510;e;2050;e;-540;e;1159;e;1537;e;-378;e;2669;e;3587;e;-918;e;4035;e;4641;e;-606;e;3437;e;3852;e;-415;e;7472;e;8493;e;-1021;e
;60 years;2275;e;2481;e;-206;e;2250;e;2373;e;-123;e;4525;e;4854;e;-329;e;1360;e;2069;e;-709;e;1105;e;1576;e;-471;e;2465;e;3645;e;-1180;e;3635;e;4550;e;-915;e;3355;e;3949;e;-594;e;6990;e;8499;e;-1509;e
;61 years;2224;e;2321;e;-97;e;2164;e;2262;e;-98;e;4388;e;4583;e;-195;e;1084;e;1843;e;-759;e;1023;e;1547;e;-524;e;2107;e;3390;e;-1283;e;3308;e;4164;e;-856;e;3187;e;3809;e;-622;e;6495;e;7973;e;-1478;e
;62 years;1876;e;2008;e;-132;e;1659;e;1760;e;-101;e;3535;e;3768;e;-233;e;900;e;1649;e;-749;e;850;e;1300;e;-450;e;1750;e;2949;e;-1199;e;2776;e;3657;e;-881;e;2509;e;3060;e;-551;e;5285;e;6717;e;-1432;e
;63 years;1863;e;1949;e;-86;e;1700;e;1763;e;-63;e;3563;e;3712;e;-149;e;731;e;1500;e;-769;e;720;e;1182;e;-462;e;1451;e;2682;e;-1231;e;2594;e;3449;e;-855;e;2420;e;2945;e;-525;e;5014;e;6394;e;-1380;e
;64 years;2327;e;2460;e;-133;e;2078;e;2123;e;-45;e;4405;e;4583;e;-178;e;684;e;1424;e;-740;e;668;e;1152;e;-484;e;1352;e;2576;e;-1224;e;3011;e;3884;e;-873;e;2746;e;3275;e;-529;e;5757;e;7159;e;-1402;e
;65 years;2631;e;2759;e;-128;e;2059;e;2130;e;-71;e;4690;e;4889;e;-199;e;699;e;1668;e;-969;e;605;e;1085;e;-480;e;1304;e;2753;e;-1449;e;3330;e;4427;e;-1097;e;2664;e;3215;e;-551;e;5994;e;7642;e;-1648;e
;66 years;2119;e;2304;e;-185;e;1730;e;1793;e;-63;e;3849;e;4097;e;-248;e;639;e;1549;e;-910;e;559;e;1027;e;-468;e;1198;e;2576;e;-1378;e;2758;e;3853;e;-1095;e;2289;e;2820;e;-531;e;5047;e;6673;e;-1626;e
;67 years;2074;e;2237;e;-163;e;1918;e;2024;e;-106;e;3992;e;4261;e;-269;e;551;e;1228;e;-677;e;538;e;873;e;-335;e;1089;e;2101;e;-1012;e;2625;e;3465;e;-840;e;2456;e;2897;e;-441;e;5081;e;6362;e;-1281;e
;68 years;1964;e;2096;e;-132;e;1773;e;1841;e;-68;e;3737;e;3937;e;-200;e;555;e;1284;e;-729;e;538;e;919;e;-381;e;1093;e;2203;e;-1110;e;2519;e;3380;e;-861;e;2311;e;2760;e;-449;e;4830;e;6140;e;-1310;e
;69 years;1739;e;1821;e;-82;e;1822;e;1827;e;-5;e;3561;e;3648;e;-87;e;479;e;1154;e;-675;e;450;e;806;e;-356;e;929;e;1960;e;-1031;e;2218;e;2975;e;-757;e;2272;e;2633;e;-361;e;4490;e;5608;e;-1118;e
;70 years;1466;e;1548;e;-82;e;1560;e;1600;e;-40;e;3026;e;3148;e;-122;e;410;e;1029;e;-619;e;406;e;777;e;-371;e;816;e;1806;e;-990;e;1876;e;2577;e;-701;e;1966;e;2377;e;-411;e;3842;e;4954;e;-1112;e
;71 years;1243;e;1331;e;-88;e;1426;e;1464;e;-38;e;2669;e;2795;e;-126;e;375;e;926;e;-551;e;351;e;686;e;-335;e;726;e;1612;e;-886;e;1618;e;2257;e;-639;e;1777;e;2150;e;-373;e;3395;e;4407;e;-1012;e
;72 years;1169;e;1205;e;-36;e;1304;e;1374;e;-70;e;2473;e;2579;e;-106;e;314;e;740;e;-426;e;328;e;621;e;-293;e;642;e;1361;e;-719;e;1483;e;1945;e;-462;e;1632;e;1995;e;-363;e;3115;e;3940;e;-825;e
;73 years;1119;e;1159;e;-40;e;1304;e;1344;e;-40;e;2423;e;2503;e;-80;e;253;e;622;e;-369;e;305;e;550;e;-245;e;558;e;1172;e;-614;e;1372;e;1781;e;-409;e;1609;e;1894;e;-285;e;2981;e;3675;e;-694;e
;74 years;889;e;963;e;-74;e;1218;e;1280;e;-62;e;2107;e;2243;e;-136;e;258;e;626;e;-368;e;265;e;515;e;-250;e;523;e;1141;e;-618;e;1147;e;1589;e;-442;e;1483;e;1795;e;-312;e;2630;e;3384;e;-754;e
;75 years;697;e;740;e;-43;e;958;e;979;e;-21;e;1655;e;1719;e;-64;e;200;e;558;e;-358;e;202;e;453;e;-251;e;402;e;1011;e;-609;e;897;e;1298;e;-401;e;1160;e;1432;e;-272;e;2057;e;2730;e;-673;e
;76 years;677;e;730;e;-53;e;976;e;1000;e;-24;e;1653;e;1730;e;-77;e;161;e;441;e;-280;e;216;e;433;e;-217;e;377;e;874;e;-497;e;838;e;1171;e;-333;e;1192;e;1433;e;-241;e;2030;e;2604;e;-574;e
;77 years;670;e;694;e;-24;e;1088;e;1109;e;-21;e;1758;e;1803;e;-45;e;134;e;353;e;-219;e;197;e;358;e;-161;e;331;e;711;e;-380;e;804;e;1047;e;-243;e;1285;e;1467;e;-182;e;2089;e;2514;e;-425;e
;78 years;667;e;686;e;-19;e;1234;e;1264;e;-30;e;1901;e;1950;e;-49;e;118;e;340;e;-222;e;187;e;370;e;-183;e;305;e;710;e;-405;e;785;e;1026;e;-241;e;1421;e;1634;e;-213;e;2206;e;2660;e;-454;e
;79 years;662;e;695;e;-33;e;1224;e;1261;e;-37;e;1886;e;1956;e;-70;e;106;e;247;e;-141;e;166;e;275;e;-109;e;272;e;522;e;-250;e;768;e;942;e;-174;e;1390;e;1536;e;-146;e;2158;e;2478;e;-320;e
;80 years;698;e;724;e;-26;e;1325;e;1361;e;-36;e;2023;e;2085;e;-62;e;89;e;256;e;-167;e;161;e;311;e;-150;e;250;e;567;e;-317;e;787;e;980;e;-193;e;1486;e;1672;e;-186;e;2273;e;2652;e;-379;e
