Tabelle: 12521-0002
Foreigners: Germany, reference date, sex/age years/marital;;;;
status, country groups/citizenship;;;;
Statistics of foreigners;;;;;;;
Germany;;;;;;;
Foreigners (number);;;;;;;
;;Sex;;;;;
;;Male;;Female;;Total;
;Territory of former Serbia and Montenegro;157265;e;139739;e;297004;e
;Territory of the former Soviet Union;207713;e;300136;e;507849;e
;Territory of former Czechoslovakia;23743;e;37781;e;61524;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2006-12-31;Total;3475273;e;3275731;e;6751004;e
;videlicet:;;;;;;
;Europe;2767909;e;2606837;e;5374746;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1314862;e;1208419;e;2523281;e
;EU-28 third countries (until 2020-01-31);2160411;e;2067312;e;4227723;e
;EU-27 (until 2013-06-30);1203026;e;1092745;e;2295771;e
;EU-27 third countries (until 2013-06-30);2272247;e;2182986;e;4455233;e
;EU-25 (until 2006-12-31);1156419;e;1026946;e;2183365;e
;EU-25 third countries (until 2006-12-31);2318854;e;2248785;e;4567639;e
;EU-15 (until 2004-04-30);904533;e;745140;e;1649673;e
;EU-15 third countries (until 2004-04-30);2570740;e;2530591;e;5101331;e
;EC-12 (until 1994-12-31);799937;e;643989;e;1443926;e
;EC-12 third countries (until 1994-12-31);2675336;e;2631742;e;5307078;e
;EC-10 (until 1985-12-31);684030;e;538049;e;1222079;e
;EC-10 third countries (until 1985-12-31);2791243;e;2737682;e;5528925;e
;EC-9 (until 1980-12-31);518977;e;399341;e;918318;e
;EC-9 third countries (until 1980-12-31);2956296;e;2876390;e;5832686;e
;EEC-6 (until 1972-12-31);447668;e;346699;e;794367;e
;EEC-6 third countries (until 1972-12-31);3027605;e;2929032;e;5956637;e
;Africa;160364;e;111087;e;271451;e
;North Africa;76164;e;44501;e;120665;e
;West Africa;42067;e;26491;e;68558;e
;Central Africa;17999;e;13323;e;31322;e
;East Africa;15287;e;19176;e;34463;e
;Southern Africa;8847;e;7596;e;16443;e
;America;97591;e;115448;e;213039;e
;North America;63343;e;49094;e;112437;e
;Central America and Caribbean;11331;e;18082;e;29413;e
;South America;22917;e;48272;e;71189;e
;Asia;405431;e;411163;e;816594;e
;South West Asia;150594;e;111726;e;262320;e
;South and South East Asia;126434;e;158614;e;285048;e
;East and Central Asia;128403;e;140823;e;269226;e
;Australia and Oceania;5694;e;5133;e;10827;e
;Countries of origin of foreign workers;2061892;e;1780284;e;3842176;e
;Territory of former Yugoslavia;490186;e;459751;e;949937;e
;Territory of former Serbia and Montenegro;165836;e;150987;e;316823;e
;Territory of the former Soviet Union;203618;e;302006;e;505624;e
;Territory of former Czechoslovakia;25028;e;39512;e;64540;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2007-12-31;Total;3459799;e;3285080;e;6744879;e
;videlicet:;;;;;;
;Europe;2761981;e;2614267;e;5376248;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1334774;e;1227769;e;2562543;e
;EU-28 third countries (until 2020-01-31);2125025;e;2057311;e;4182336;e
;EU-27 (until 2013-06-30);1224383;e;1112851;e;2337234;e
;EU-27 third countries (until 2013-06-30);2235416;e;2172229;e;4407645;e
;EU-25 (until 2006-12-31);1167291;e;1038541;e;2205832;e
;EU-25 third countries (until 2006-12-31);2292508;e;2246539;e;4539047;e
;EU-15 (until 2004-04-30);900407;e;742933;e;1643340;e
;EU-15 third countries (until 2004-04-30);2559392;e;2542147;e;5101539;e
;EC-12 (until 1994-12-31);795690;e;641255;e;1436945;e
;EC-12 third countries (until 1994-12-31);2664109;e;2643825;e;5307934;e
;EC-10 (until 1985-12-31);680374;e;535718;e;1216092;e
;EC-10 third countries (until 1985-12-31);2779425;e;2749362;e;5528787;e
;EC-9 (until 1980-12-31);520174;e;401027;e;921201;e
;EC-9 third countries (until 1980-12-31);2939625;e;2884053;e;5823678;e
;EEC-6 (until 1972-12-31);448285;e;348216;e;796501;e
;EEC-6 third countries (until 1972-12-31);3011514;e;2936864;e;5948378;e
;Africa;156757;e;112403;e;269160;e
;North Africa;74341;e;44738;e;119079;e
;West Africa;41225;e;27127;e;68352;e
;Central Africa;17572;e;13584;e;31156;e
;East Africa;14980;e;19385;e;34365;e
;Southern Africa;8639;e;7569;e;16208;e
;America;98884;e;116755;e;215639;e
;North America;63661;e;49591;e;113252;e
;Central America and Caribbean;11571;e;18363;e;29934;e
;South America;23652;e;48801;e;72453;e
;Asia;399020;e;410913;e;809933;e
;South West Asia;147340;e;109663;e;257003;e
;South and South East Asia;124773;e;160038;e;284811;e
;East and Central Asia;126907;e;141212;e;268119;e
;Australia and Oceania;5877;e;5233;e;11110;e
;Countries of origin of foreign workers;2025912;e;1760680;e;3786592;e
;Territory of former Yugoslavia;481385;e;456377;e;937762;e
;Territory of former Serbia and Montenegro;171791;e;158817;e;330608;e
;Territory of the former Soviet Union;199425;e;301243;e;500668;e
;Territory of former Czechoslovakia;24984;e;40575;e;65559;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2008-12-31;Total;3441282;e;3286336;e;6727618;e
;videlicet:;;;;;;
;Europe;2748486;e;2613832;e;5362318;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1344384;e;1240131;e;2584515;e
;EU-28 third countries (until 2020-01-31);2096898;e;2046205;e;4143103;e
;EU-27 (until 2013-06-30);1235595;e;1125864;e;2361459;e
;EU-27 third countries (until 2013-06-30);2205687;e;2160472;e;4366159;e
;EU-25 (until 2006-12-31);1168981;e;1044168;e;2213149;e
;EU-25 third countries (until 2006-12-31);2272301;e;2242168;e;4514469;e
;EU-15 (until 2004-04-30);897582;e;740528;e;1638110;e
;EU-15 third countries (until 2004-04-30);2543700;e;2545808;e;5089508;e
;EC-12 (until 1994-12-31);793273;e;638686;e;1431959;e
;EC-12 third countries (until 1994-12-31);2648009;e;2647650;e;5295659;e
;EC-10 (until 1985-12-31);678404;e;533578;e;1211982;e
;EC-10 third countries (until 1985-12-31);2762878;e;2752758;e;5515636;e
;EC-9 (until 1980-12-31);522470;e;402325;e;924795;e
;EC-9 third countries (until 1980-12-31);2918812;e;2884011;e;5802823;e
;EEC-6 (until 1972-12-31);449838;e;349229;e;799067;e
;EEC-6 third countries (until 1972-12-31);2991444;e;2937107;e;5928551;e
;Africa;154035;e;113449;e;267484;e
;North Africa;72780;e;45052;e;117832;e
;West Africa;41124;e;27662;e;68786;e
;Central Africa;17074;e;13659;e;30733;e
;East Africa;14747;e;19696;e;34443;e
;Southern Africa;8310;e;7380;e;15690;e
;America;99540;e;116723;e;216263;e
;North America;63705;e;49687;e;113392;e
;Central America and Caribbean;11679;e;18349;e;30028;e
;South America;24156;e;48687;e;72843;e
;Asia;396745;e;411879;e;808624;e
;South West Asia;146654;e;109019;e;255673;e
;South and South East Asia;125336;e;161587;e;286923;e
;East and Central Asia;124755;e;141273;e;266028;e
;Australia and Oceania;6020;e;5185;e;11205;e
;Countries of origin of foreign workers;1993218;e;1740414;e;3733632;e
;Territory of former Yugoslavia;473504;e;452101;e;925605;e
;Territory of former Serbia and Montenegro;182431;e;169614;e;352045;e
;Territory of the former Soviet Union;196696;e;301055;e;497751;e
;Territory of former Czechoslovakia;24690;e;40454;e;65144;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2009-12-31;Total;3411832;e;3282944;e;6694776;e
;videlicet:;;;;;;
;Europe;2721827;e;2605579;e;5327406;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1343980;e;1245150;e;2589130;e
;EU-28 third countries (until 2020-01-31);2067852;e;2037794;e;4105646;e
;EU-27 (until 2013-06-30);1236533;e;1131375;e;2367908;e
;EU-27 third countries (until 2013-06-30);2175299;e;2151569;e;4326868;e
;EU-25 (until 2006-12-31);1159770;e;1041304;e;2201074;e
;EU-25 third countries (until 2006-12-31);2252062;e;2241640;e;4493702;e
;EU-15 (until 2004-04-30);886577;e;731506;e;1618083;e
;EU-15 third countries (until 2004-04-30);2525255;e;2551438;e;5076693;e
;EC-12 (until 1994-12-31);783193;e;630342;e;1413535;e
;EC-12 third countries (until 1994-12-31);2628639;e;2652602;e;5281241;e
;EC-10 (until 1985-12-31);669724;e;526549;e;1196273;e
;EC-10 third countries (until 1985-12-31);2742108;e;2756395;e;5498503;e
;EC-9 (until 1980-12-31);518839;e;399371;e;918210;e
;EC-9 third countries (until 1980-12-31);2892993;e;2883573;e;5776566;e
;EEC-6 (until 1972-12-31);446763;e;347034;e;793797;e
;EEC-6 third countries (until 1972-12-31);2965069;e;2935910;e;5900979;e
;Africa;152822;e;115078;e;267900;e
;North Africa;71441;e;45355;e;116796;e
;West Africa;41622;e;28354;e;69976;e
;Central Africa;16801;e;13761;e;30562;e
;East Africa;14882;e;20324;e;35206;e
;Southern Africa;8076;e;7284;e;15360;e
;America;98804;e;116291;e;215095;e
;North America;62415;e;49049;e;111464;e
;Central America and Caribbean;11735;e;18346;e;30081;e
;South America;24654;e;48896;e;73550;e
;Asia;396560;e;415761;e;812321;e
;South West Asia;148110;e;111238;e;259348;e
;South and South East Asia;125265;e;163322;e;288587;e
;East and Central Asia;123185;e;141201;e;264386;e
;Australia and Oceania;6096;e;5296;e;11392;e
;Countries of origin of foreign workers;1955974;e;1717871;e;3673845;e
;Territory of former Yugoslavia;465875;e;449325;e;915200;e
;Territory of former Serbia and Montenegro;196653;e;185430;e;382083;e
;Territory of the former Soviet Union;196298;e;303245;e;499543;e
;Territory of former Czechoslovakia;24301;e;40232;e;64533;e
;United Kingdom incl. British overseas territories;-;;-;;-;
2010-12-31;Total;3442448;e;3311173;e;6753621;e
;videlicet:;;;;;;
;Europe;2748938;e;2625654;e;5374592;e
;EU-27 (since 2020-02-01);-;;-;;-;
;EU-27 third countries (since 2020-02-01);-;;-;;-;
;EU-28 (until 2020-01-31);1390777;e;1272752;e;2663529;e
;EU-28 third countries (until 2020-01-31);2051671;e;2038421;e;4090092;e
;EU-27 (until 2013-06-30);1283803;e;1159527;e;2443330;e
;EU-27 third countries (until 2013-06-30);2158645;e;2151646;e;4310291;e
;EU-25 (until 2006-12-31);1186032;e;1055893;e;2241925;e
;EU-25 third countries (until 2006-12-31);2256416;e;2255280;e;4511696;e
;EU-15 (until 2004-04-30);890245;e;733142;e;1623387;e
;EU-15 third countries (until 2004-04-30);2552203;e;2578031;e;5130234;e
;EC-12 (until 1994-12-31);786393;e;631674;e;1418067;e
;EC-12 third countries (until 1994-12-31);2656055;e;2679499;e;5335554;e
;EC-10 (until 1985-12-31);672204;e;527254;e;1199458;e
;EC-10 third countries (until 1985-12-31);2770244;e;2783919;e;5554163;e
;EC-9 (until 1980-12-31);521930;e;400843;e;922773;e
;EC-9 third countries (until 1980-12-31);2920518;e;2910330;e;5830848;e
;EEC-6 (until 1972-12-31);449350;e;348314;e;797664;e
;EEC-6 third countries (until 1972-12-31);2993098;e;2962859;e;5955957;e
;Africa;153462;e;117500;e;270962;e
;North Africa;70354;e;45981;e;116335;e
;West Africa;41999;e;29234;e;71233;e
;Central Africa;16490;e;13744;e;30234;e
;East Africa;16762;e;21409;e;38171;e
;Southern Africa;7857;e;7132;e;14989;e
;America;98631;e;116563;e;215194;e
