Tabelle: 62231-0001
Indices of agreed earnings, weekly working hours:;;;;;;;;;
Germany, months, economic activities;;;;;;;;;
Monthly index of agreed earnings and working hours;;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;;
;;;;Index coll. agreed hourly earnings without sp.pay.;;Index coll. agreed hourly earnings with sp.pay.;;Index coll. agreed monthly earnings without sp.pay;;Index coll. agreed monthly earnings with sp.pay.;;Index of collectively agreed weekly working hours;;Average collectively agreed weekly working hours;
;;;;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;2020=100;h;h
;;;July;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;August;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;September;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;October;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;November;91.4;e;102.0;e;91.3;e;102.3;e;100.0;e;38.8;e
;;;December;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;2014;January;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;February;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;March;91.4;e;87.4;e;91.3;e;87.4;e;100.0;e;38.8;e
;;;April;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;;May;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;;June;91.9;e;118.0;e;91.9;e;117.8;e;100.0;e;38.8;e
;;;July;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;;August;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;;September;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;;October;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;;November;91.9;e;102.8;e;91.9;e;103.3;e;100.0;e;38.8;e
;;;December;91.9;e;87.9;e;91.9;e;87.9;e;100.0;e;38.8;e
;;2015;January;91.9;e;88.5;e;91.9;e;88.5;e;100.0;e;38.7;e
;;;February;91.9;e;90.5;e;91.9;e;90.5;e;100.0;e;38.7;e
;;;March;92.0;e;88.5;e;92.0;e;88.5;e;100.0;e;38.7;e
;;;April;92.1;e;88.5;e;92.1;e;88.5;e;100.0;e;38.7;e
;;;May;92.1;e;88.5;e;92.1;e;88.5;e;100.0;e;38.7;e
;;;June;92.1;e;114.5;e;92.1;e;114.5;e;100.0;e;38.7;e
;;;July;92.5;e;91.3;e;92.5;e;91.3;e;100.0;e;38.7;e
;;;August;94.6;e;97.2;e;94.6;e;97.2;e;100.0;e;38.7;e
;;;September;94.6;e;91.0;e;94.6;e;91.0;e;100.0;e;38.7;e
;;;October;94.6;e;91.3;e;94.6;e;91.3;e;100.0;e;38.7;e
;;;November;94.6;e;105.9;e;94.6;e;105.9;e;100.0;e;38.7;e
;;;December;94.6;e;91.0;e;94.6;e;91.0;e;100.0;e;38.7;e
;;2016;January;94.6;e;91.1;e;94.6;e;91.1;e;100.0;e;38.7;e
;;;February;94.6;e;91.1;e;94.6;e;91.1;e;100.0;e;38.7;e
;;;March;94.7;e;91.1;e;94.7;e;91.1;e;100.0;e;38.7;e
;;;April;94.7;e;91.1;e;94.7;e;91.1;e;100.0;e;38.7;e
;;;May;94.9;e;91.3;e;94.9;e;91.3;e;100.0;e;38.7;e
;;;June;94.9;e;118.4;e;94.9;e;118.4;e;100.0;e;38.7;e
;;;July;94.9;e;91.3;e;94.9;e;91.3;e;100.0;e;38.7;e
;;;August;95.0;e;91.7;e;95.0;e;91.7;e;100.0;e;38.7;e
;;;September;95.0;e;91.5;e;95.0;e;91.5;e;100.0;e;38.7;e
;;;October;95.0;e;91.4;e;95.0;e;91.4;e;100.0;e;38.7;e
;;;November;95.0;e;106.7;e;95.0;e;106.7;e;100.0;e;38.7;e
;;;December;95.0;e;91.4;e;95.0;e;91.4;e;100.0;e;38.7;e
;;2017;January;95.1;e;97.2;e;95.1;e;97.2;e;100.0;e;38.7;e
;;;February;95.2;e;91.5;e;95.2;e;91.5;e;100.0;e;38.7;e
;;;March;95.2;e;91.5;e;95.2;e;91.5;e;100.0;e;38.7;e
;;;April;96.6;e;94.3;e;96.6;e;94.3;e;100.0;e;38.7;e
;;;May;96.6;e;93.0;e;96.6;e;93.0;e;100.0;e;38.7;e
;;;June;96.6;e;118.7;e;96.6;e;118.7;e;100.0;e;38.7;e
;;;July;96.6;e;97.1;e;96.6;e;97.1;e;100.0;e;38.7;e
;;;August;96.6;e;93.0;e;96.6;e;93.0;e;100.0;e;38.7;e
;;;September;96.6;e;93.0;e;96.6;e;93.0;e;100.0;e;38.7;e
;;;October;96.6;e;93.0;e;96.6;e;93.0;e;100.0;e;38.7;e
;;;November;96.6;e;108.4;e;96.6;e;108.4;e;100.0;e;38.7;e
;;;December;96.6;e;93.0;e;96.6;e;93.0;e;100.0;e;38.7;e
;;2018;January;97.0;e;94.9;e;97.0;e;94.9;e;100.0;e;38.7;e
;;;February;97.0;e;93.4;e;97.0;e;93.4;e;100.0;e;38.7;e
;;;March;97.0;e;93.4;e;97.0;e;93.4;e;100.0;e;38.7;e
;;;April;98.9;e;95.2;e;98.9;e;95.2;e;100.0;e;38.7;e
;;;May;98.9;e;95.2;e;98.9;e;95.2;e;100.0;e;38.7;e
;;;June;98.9;e;120.9;e;98.9;e;120.9;e;100.0;e;38.7;e
;;;July;98.9;e;95.2;e;98.9;e;95.2;e;100.0;e;38.7;e
;;;August;99.1;e;95.8;e;99.1;e;95.8;e;100.0;e;38.7;e
;;;September;99.1;e;95.6;e;99.1;e;95.6;e;100.0;e;38.7;e
;;;October;99.1;e;95.3;e;99.1;e;95.3;e;100.0;e;38.7;e
;;;November;99.2;e;111.2;e;99.2;e;111.2;e;100.0;e;38.7;e
;;;December;99.2;e;95.4;e;99.2;e;95.4;e;100.0;e;38.7;e
;;2019;January;99.2;e;96.8;e;99.2;e;96.8;e;100.0;e;38.7;e
;;;February;99.2;e;98.2;e;99.2;e;98.2;e;100.0;e;38.7;e
;;;March;99.2;e;95.5;e;99.2;e;95.5;e;100.0;e;38.7;e
;;;April;99.3;e;95.6;e;99.3;e;95.6;e;100.0;e;38.7;e
;;;May;99.3;e;95.6;e;99.3;e;95.6;e;100.0;e;38.7;e
;;;June;99.3;e;121.4;e;99.3;e;121.4;e;100.0;e;38.7;e
;;;July;99.7;e;96.0;e;99.7;e;96.0;e;100.0;e;38.7;e
;;;August;99.7;e;96.0;e;99.7;e;96.0;e;100.0;e;38.7;e
;;;September;99.7;e;96.0;e;99.7;e;96.0;e;100.0;e;38.7;e
;;;October;99.8;e;96.1;e;99.8;e;96.1;e;100.0;e;38.7;e
;;;November;99.8;e;112.3;e;99.8;e;112.3;e;100.0;e;38.7;e
;;;December;99.8;e;96.1;e;99.8;e;96.1;e;100.0;e;38.7;e
;;2020;January;99.8;e;95.8;e;99.8;e;95.8;e;100.0;e;38.7;e
;;;February;99.8;e;95.8;e;99.8;e;95.8;e;100.0;e;38.7;e
;;;March;99.8;e;95.9;e;99.8;e;95.9;e;100.0;e;38.7;e
;;;April;99.8;e;95.9;e;99.8;e;95.9;e;100.0;e;38.7;e
;;;May;99.8;e;95.9;e;99.8;e;95.9;e;100.0;e;38.7;e
;;;June;99.8;e;123.0;e;99.8;e;123.0;e;100.0;e;38.7;e
;;;July;100.2;e;96.2;e;100.2;e;96.2;e;100.0;e;38.7;e
;;;August;100.2;e;96.2;e;100.2;e;96.2;e;100.0;e;38.7;e
;;;September;100.2;e;96.2;e;100.2;e;96.2;e;100.0;e;38.7;e
;;;October;100.2;e;96.2;e;100.2;e;96.2;e;100.0;e;38.7;e
;;;November;100.2;e;115.4;e;100.2;e;115.4;e;100.0;e;38.7;e
;;;December;100.2;e;97.4;e;100.2;e;97.4;e;100.0;e;38.7;e
;;2021;January;100.2;e;96.2;e;100.2;e;96.2;e;100.0;e;38.7;e
;;;February;100.2;e;96.5;e;100.2;e;96.5;e;100.0;e;38.7;e
;;;March;100.2;e;96.2;e;100.2;e;96.2;e;100.0;e;38.7;e
;;;April;100.4;e;96.4;e;100.4;e;96.4;e;100.0;e;38.7;e
;;;May;100.4;e;96.4;e;100.4;e;96.4;e;100.0;e;38.7;e
;;;June;100.4;e;123.2;e;100.4;e;123.2;e;100.0;e;38.7;e
;;;July;100.4;e;96.4;e;100.4;e;96.4;e;100.0;e;38.7;e
;;;August;100.4;e;96.4;e;100.4;e;96.4;e;100.0;e;38.7;e
;;;September;100.4;e;96.4;e;100.4;e;96.4;e;100.0;e;38.7;e
;;;October;100.4;e;96.4;e;100.4;e;96.4;e;100.0;e;38.7;e
;;;November;100.4;e;115.8;e;100.4;e;115.8;e;100.0;e;38.7;e
;;;December;100.4;e;98.2;e;100.4;e;98.2;e;100.0;e;38.7;e
;;2022;January;100.7;e;96.7;e;100.7;e;96.7;e;100.0;e;38.7;e
;;;February;100.7;e;96.7;e;100.7;e;96.7;e;100.0;e;38.7;e
;;;March;100.7;e;98.3;e;100.7;e;98.3;e;100.0;e;38.7;e
;;;April;100.9;e;96.9;e;100.9;e;96.9;e;100.0;e;38.7;e
;;;May;100.9;e;97.3;e;100.9;e;97.3;e;100.0;e;38.7;e
;;;June;100.9;e;123.7;e;100.9;e;123.6;e;100.0;e;38.7;e
;;;July;100.9;e;96.9;e;100.9;e;96.9;e;100.0;e;38.7;e
;;;August;100.9;e;96.9;e;100.9;e;96.9;e;100.0;e;38.7;e
;;;September;100.9;e;96.9;e;100.9;e;96.9;e;100.0;e;38.7;e
;;;October;100.9;e;97.0;e;100.9;e;97.0;e;100.0;e;38.7;e
;;;November;100.9;e;117.1;e;100.9;e;117.1;e;100.0;e;38.7;e
;;;December;100.9;e;96.9;e;100.9;e;96.9;e;100.0;e;38.7;e
;;2023;January;101.0;e;97.0;e;101.0;e;97.0;e;100.0;e;38.7;e
;;;February;101.0;e;97.0;e;101.0;e;97.0;e;100.0;e;38.7;e
;;;March;101.0;e;97.0;e;101.0;e;97.0;e;100.0;e;38.7;e
;;;April;101.1;e;97.1;e;101.1;e;97.1;e;100.0;e;38.7;e
;;;May;101.1;e;97.6;e;101.1;e;97.6;e;100.0;e;38.7;e
;;;June;101.1;e;126.0;e;101.1;e;126.0;e;100.0;e;38.7;e
;;;July;101.2;e;97.5;e;101.2;e;97.5;e;100.0;e;38.7;e
;;;August;101.2;e;97.5;e;101.2;e;97.5;e;100.0;e;38.7;e
;;;September;101.2;e;97.5;e;101.2;e;97.5;e;100.0;e;38.7;e
;;;October;101.2;e;106.1;e;101.2;e;106.1;e;100.0;e;38.7;e
;;;November;101.2;e;117.7;e;101.2;e;117.7;e;100.0;e;38.7;e
;;;December;101.7;e;98.1;e;101.7;e;98.1;e;100.0;e;38.7;e
;;2024;January;101.7;e;98.2;e;101.7;e;98.2;e;100.0;e;38.7;e
;;;February;101.7;e;98.2;e;101.7;e;98.2;e;100.0;e;38.7;e
;;;March;102.6;e;98.7;e;102.6;e;98.7;e;100.0;e;38.7;e
;;;April;102.6;e;98.7;e;102.6;e;98.7;e;100.0;e;38.7;e
;;;May;103.1;e;100.2;e;103.1;e;100.2;e;100.0;e;38.7;e
;;;June;103.1;e;126.1;e;103.1;e;126.1;e;100.0;e;38.7;e
;;;July;103.1;e;99.1;e;103.1;e;99.1;e;100.0;e;38.7;e
;;;August;103.7;e;99.7;e;103.7;e;99.7;e;100.0;e;38.7;e
;;;September;103.7;e;99.7;e;103.7;e;99.7;e;100.0;e;38.7;e
;;;October;103.7;e;99.7;e;103.7;e;99.7;e;100.0;e;38.7;e
;;;November;103.7;e;121.8;e;103.7;e;121.7;e;100.0;e;38.7;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-80;Security and investigation activities;2010;January;71.8;e;68.7;e;71.8;e;68.7;e;100.0;e;39.9;e
;;;February;71.8;e;68.7;e;71.8;e;68.7;e;100.0;e;39.9;e
;;;March;71.8;e;68.7;e;71.8;e;68.7;e;100.0;e;39.9;e
;;;April;71.7;e;68.8;e;71.7;e;68.8;e;100.0;e;39.9;e
;;;May;71.8;e;68.9;e;71.8;e;68.9;e;100.0;e;39.9;e
;;;June;71.8;e;81.0;e;71.9;e;81.1;e;100.0;e;39.9;e
;;;July;72.4;e;69.5;e;72.4;e;69.5;e;100.0;e;39.9;e
;;;August;72.4;e;69.5;e;72.4;e;69.5;e;100.0;e;39.9;e
;;;September;72.4;e;69.5;e;72.4;e;69.5;e;100.0;e;39.9;e
;;;October;72.4;e;69.5;e;72.4;e;69.5;e;100.0;e;39.9;e
;;;November;72.4;e;91.2;e;72.4;e;91.2;e;100.0;e;39.9;e
;;;December;72.4;e;69.5;e;72.4;e;69.5;e;100.0;e;39.9;e
;;2011;January;72.5;e;70.3;e;72.5;e;70.3;e;100.0;e;39.9;e
;;;February;72.5;e;69.7;e;72.5;e;69.7;e;100.0;e;39.9;e
;;;March;73.0;e;70.2;e;73.1;e;70.2;e;100.0;e;39.9;e
;;;April;73.0;e;70.2;e;73.1;e;70.2;e;100.0;e;39.9;e
;;;May;73.4;e;70.5;e;73.4;e;70.5;e;100.0;e;39.9;e
;;;June;74.1;e;83.2;e;74.1;e;83.2;e;100.0;e;39.9;e
;;;July;74.2;e;71.2;e;74.2;e;71.2;e;100.0;e;39.9;e
;;;August;74.2;e;71.2;e;74.2;e;71.2;e;100.0;e;39.9;e
;;;September;74.2;e;71.2;e;74.2;e;71.2;e;100.0;e;39.9;e
;;;October;74.2;e;72.0;e;74.2;e;72.0;e;100.0;e;39.9;e
;;;November;74.2;e;93.2;e;74.2;e;93.1;e;100.0;e;39.9;e
;;;December;74.2;e;71.2;e;74.2;e;71.2;e;100.0;e;39.9;e
;;2012;January;74.4;e;71.5;e;74.4;e;71.5;e;100.0;e;39.9;e
;;;February;74.4;e;71.5;e;74.4;e;71.5;e;100.0;e;39.9;e
;;;March;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;;April;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;;May;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;;June;76.1;e;85.7;e;76.1;e;85.7;e;100.0;e;39.9;e
;;;July;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;;August;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;;September;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;;October;76.1;e;74.0;e;76.1;e;74.0;e;100.0;e;39.9;e
;;;November;76.1;e;95.7;e;76.1;e;95.5;e;100.0;e;39.9;e
;;;December;76.1;e;73.1;e;76.1;e;73.1;e;100.0;e;39.9;e
;;2013;January;77.3;e;74.2;e;77.3;e;74.2;e;100.0;e;39.9;e
;;;February;77.3;e;74.2;e;77.3;e;74.2;e;100.0;e;39.9;e
;;;March;77.3;e;74.2;e;77.3;e;74.2;e;100.0;e;39.9;e
;;;April;77.3;e;74.2;e;77.3;e;74.2;e;100.0;e;39.9;e
;;;May;77.5;e;74.4;e;77.5;e;74.5;e;100.0;e;39.9;e
;;;June;77.5;e;87.3;e;77.5;e;87.3;e;100.0;e;39.9;e
;;;July;77.5;e;74.4;e;77.5;e;74.5;e;100.0;e;39.9;e
;;;August;77.6;e;74.5;e;77.6;e;74.5;e;100.0;e;39.9;e
;;;September;77.6;e;74.5;e;77.6;e;74.5;e;100.0;e;39.9;e
;;;October;77.6;e;74.5;e;77.6;e;74.5;e;100.0;e;39.9;e
;;;November;77.6;e;97.6;e;77.6;e;97.4;e;100.0;e;39.9;e
;;;December;77.6;e;74.5;e;77.6;e;74.5;e;100.0;e;39.9;e
;;2014;January;78.3;e;75.2;e;78.3;e;75.2;e;100.0;e;39.9;e
;;;February;78.5;e;75.5;e;78.5;e;75.5;e;100.0;e;39.9;e
;;;March;78.8;e;75.6;e;78.8;e;75.6;e;100.0;e;39.9;e
;;;April;78.8;e;75.6;e;78.8;e;75.6;e;100.0;e;39.9;e
;;;May;79.6;e;76.4;e;79.6;e;76.4;e;100.0;e;39.9;e
;;;June;79.6;e;88.6;e;79.6;e;88.6;e;100.0;e;39.9;e
;;;July;79.6;e;76.4;e;79.6;e;76.4;e;100.0;e;39.9;e
;;;August;79.9;e;78.3;e;79.9;e;78.3;e;100.0;e;39.9;e
;;;September;79.9;e;76.7;e;79.9;e;76.7;e;100.0;e;39.9;e
;;;October;79.9;e;76.7;e;79.9;e;76.7;e;100.0;e;39.9;e
;;;November;79.9;e;100.3;e;79.9;e;100.2;e;100.0;e;39.9;e
;;;December;79.9;e;76.7;e;79.9;e;76.7;e;100.0;e;39.9;e
;;2015;January;80.8;e;80.2;e;80.8;e;80.2;e;100.0;e;40.0;e
;;;February;80.8;e;80.2;e;80.8;e;80.2;e;100.0;e;40.0;e
;;;March;82.6;e;82.0;e;82.6;e;82.0;e;100.0;e;40.0;e
;;;April;82.8;e;82.2;e;82.8;e;82.2;e;100.0;e;40.0;e
;;;May;82.8;e;82.2;e;82.8;e;82.2;e;100.0;e;40.0;e
;;;June;82.9;e;84.5;e;82.9;e;84.5;e;100.0;e;40.0;e
;;;July;82.9;e;82.5;e;82.9;e;82.5;e;100.0;e;40.0;e
;;;August;83.1;e;82.5;e;83.1;e;82.5;e;100.0;e;40.0;e
;;;September;83.1;e;82.5;e;83.1;e;82.5;e;100.0;e;40.0;e
;;;October;83.1;e;82.5;e;83.1;e;82.5;e;100.0;e;40.0;e
;;;November;83.1;e;87.9;e;83.1;e;87.9;e;100.0;e;40.0;e
;;;December;83.1;e;82.5;e;83.1;e;82.5;e;100.0;e;40.0;e
;;2016;January;85.7;e;85.1;e;85.7;e;85.1;e;100.0;e;40.0;e
;;;February;85.7;e;85.1;e;85.7;e;85.1;e;100.0;e;40.0;e
;;;March;85.8;e;85.2;e;85.8;e;85.2;e;100.0;e;40.0;e
;;;April;86.0;e;85.5;e;86.0;e;85.5;e;100.0;e;40.0;e
;;;May;86.0;e;85.5;e;86.0;e;85.5;e;100.0;e;40.0;e
;;;June;86.1;e;87.8;e;86.1;e;87.8;e;100.0;e;40.0;e
;;;July;86.1;e;85.5;e;86.1;e;85.5;e;100.0;e;40.0;e
;;;August;86.1;e;85.5;e;86.1;e;85.5;e;100.0;e;40.0;e
;;;September;86.1;e;85.5;e;86.1;e;85.5;e;100.0;e;40.0;e
;;;October;86.5;e;85.9;e;86.5;e;85.9;e;100.0;e;40.0;e
;;;November;86.5;e;91.5;e;86.5;e;91.5;e;100.0;e;40.0;e
;;;December;86.5;e;85.9;e;86.5;e;85.9;e;100.0;e;40.0;e
;;2017;January;86.9;e;86.3;e;86.9;e;86.3;e;100.0;e;40.0;e
;;;February;88.8;e;88.6;e;88.8;e;88.6;e;100.0;e;40.0;e
;;;March;89.3;e;88.8;e;89.3;e;88.8;e;100.0;e;40.0;e
;;;April;89.3;e;88.9;e;89.3;e;88.9;e;100.0;e;40.0;e
;;;May;89.3;e;88.8;e;89.3;e;88.8;e;100.0;e;40.0;e
;;;June;89.4;e;91.1;e;89.4;e;91.1;e;100.0;e;40.0;e
;;;July;89.5;e;88.8;e;89.5;e;88.8;e;100.0;e;40.0;e
;;;August;89.5;e;88.8;e;89.5;e;88.8;e;100.0;e;40.0;e
;;;September;89.5;e;88.8;e;89.5;e;88.8;e;100.0;e;40.0;e
;;;October;89.5;e;88.8;e;89.5;e;88.8;e;100.0;e;40.0;e
;;;November;89.5;e;94.6;e;89.5;e;94.6;e;100.0;e;40.0;e
;;;December;89.5;e;88.8;e;89.5;e;88.8;e;100.0;e;40.0;e
;;2018;January;91.7;e;91.1;e;91.7;e;91.1;e;100.0;e;40.0;e
;;;February;92.0;e;91.3;e;92.0;e;91.3;e;100.0;e;40.0;e
;;;March;92.0;e;91.3;e;92.0;e;91.3;e;100.0;e;40.0;e
;;;April;92.0;e;91.3;e;92.0;e;91.3;e;100.0;e;40.0;e
;;;May;92.0;e;91.3;e;92.0;e;91.3;e;100.0;e;40.0;e
;;;June;92.0;e;93.7;e;92.0;e;93.7;e;100.0;e;40.0;e
;;;July;92.0;e;91.3;e;92.0;e;91.3;e;100.0;e;40.0;e
;;;August;92.2;e;91.5;e;92.2;e;91.5;e;100.0;e;40.0;e
;;;September;92.2;e;91.5;e;92.2;e;91.5;e;100.0;e;40.0;e
;;;October;92.2;e;91.5;e;92.2;e;91.5;e;100.0;e;40.0;e
;;;November;92.2;e;97.4;e;92.2;e;97.4;e;100.0;e;40.0;e
;;;December;92.2;e;91.6;e;92.2;e;91.6;e;100.0;e;40.0;e
;;2019;January;93.6;e;93.1;e;93.6;e;93.1;e;100.0;e;40.0;e
;;;February;94.5;e;94.0;e;94.5;e;94.0;e;100.0;e;40.0;e
;;;March;95.9;e;95.2;e;95.9;e;95.2;e;100.0;e;40.0;e
;;;April;95.9;e;95.2;e;95.9;e;95.2;e;100.0;e;40.0;e
;;;May;96.0;e;95.4;e;96.0;e;95.4;e;100.0;e;40.0;e
;;;June;96.0;e;97.7;e;96.0;e;97.7;e;100.0;e;40.0;e
;;;July;96.0;e;95.5;e;96.0;e;95.5;e;100.0;e;40.0;e
;;;August;96.0;e;95.4;e;96.0;e;95.4;e;100.0;e;40.0;e
;;;September;96.1;e;95.5;e;96.1;e;95.5;e;100.0;e;40.0;e
;;;October;96.1;e;95.5;e;96.1;e;95.5;e;100.0;e;40.0;e
;;;November;96.1;e;101.4;e;96.1;e;101.4;e;100.0;e;40.0;e
;;;December;96.1;e;95.5;e;96.1;e;95.5;e;100.0;e;40.0;e
;;2020;January;100.0;e;98.3;e;100.0;e;98.3;e;100.0;e;40.0;e
;;;February;100.0;e;98.3;e;100.0;e;98.3;e;100.0;e;40.0;e
;;;March;100.0;e;98.3;e;100.0;e;98.3;e;100.0;e;40.0;e
;;;April;100.0;e;98.3;e;100.0;e;98.3;e;100.0;e;40.0;e
;;;May;100.0;e;102.1;e;100.0;e;102.1;e;100.0;e;40.0;e
;;;June;100.0;e;100.0;e;100.0;e;100.0;e;100.0;e;40.0;e
;;;July;100.0;e;98.4;e;100.0;e;98.4;e;100.0;e;40.0;e
;;;August;100.0;e;98.4;e;100.0;e;98.4;e;100.0;e;40.0;e
;;;September;100.0;e;98.4;e;100.0;e;98.4;e;100.0;e;40.0;e
;;;October;100.0;e;104.5;e;100.0;e;104.5;e;100.0;e;40.0;e
;;;November;100.0;e;106.6;e;100.0;e;106.6;e;100.0;e;40.0;e
;;;December;100.0;e;98.4;e;100.0;e;98.4;e;100.0;e;40.0;e
;;2021;January;101.8;e;100.2;e;101.8;e;100.2;e;100.0;e;40.0;e
;;;February;101.8;e;100.2;e;101.8;e;100.2;e;100.0;e;40.0;e
;;;March;102.0;e;100.3;e;102.0;e;100.3;e;100.0;e;40.0;e
;;;April;102.1;e;100.4;e;102.1;e;100.4;e;100.0;e;40.0;e
;;;May;102.5;e;105.2;e;102.5;e;105.2;e;100.0;e;40.0;e
;;;June;102.5;e;102.5;e;102.5;e;102.5;e;100.0;e;40.0;e
;;;July;102.6;e;100.9;e;102.6;e;100.9;e;100.0;e;40.0;e
;;;August;102.6;e;100.9;e;102.6;e;100.9;e;100.0;e;40.0;e
;;;September;102.6;e;100.9;e;102.6;e;100.9;e;100.0;e;40.0;e
;;;October;102.6;e;107.2;e;102.6;e;107.2;e;100.0;e;40.0;e
;;;November;102.6;e;109.3;e;102.6;e;109.3;e;100.0;e;40.0;e
;;;December;102.6;e;101.1;e;102.6;e;101.1;e;100.0;e;40.0;e
;;2022;January;104.4;e;102.7;e;104.4;e;102.7;e;100.0;e;40.0;e
;;;February;104.6;e;102.9;e;104.6;e;102.9;e;100.0;e;40.0;e
;;;March;104.6;e;103.1;e;104.6;e;103.1;e;100.0;e;40.0;e
;;;April;105.1;e;103.3;e;105.1;e;103.3;e;100.0;e;40.0;e
;;;May;106.4;e;111.8;e;106.4;e;111.8;e;100.0;e;40.0;e
;;;June;106.4;e;106.3;e;106.4;e;106.3;e;100.0;e;40.0;e
;;;July;106.4;e;104.7;e;106.4;e;104.7;e;100.0;e;40.0;e
;;;August;106.4;e;104.7;e;106.4;e;104.7;e;100.0;e;40.0;e
;;;September;106.4;e;104.7;e;106.4;e;104.7;e;100.0;e;40.0;e
;;;October;110.9;e;115.6;e;109.5;e;114.2;e;100.0;e;40.0;e
;;;November;111.4;e;118.9;e;111.4;e;118.9;e;100.0;e;40.0;e
;;;December;111.4;e;109.6;e;111.4;e;109.6;e;100.0;e;40.0;e
;;2023;January;111.5;e;109.6;e;111.5;e;109.6;e;100.0;e;40.0;e
;;;February;113.2;e;111.3;e;113.2;e;111.3;e;100.0;e;40.0;e
;;;March;113.2;e;111.3;e;113.2;e;111.3;e;100.0;e;40.0;e
;;;April;114.4;e;112.5;e;114.4;e;112.5;e;100.0;e;40.0;e
;;;May;114.4;e;116.8;e;114.4;e;116.8;e;100.0;e;40.0;e
;;;June;114.4;e;114.4;e;114.4;e;114.4;e;100.0;e;40.0;e
;;;July;114.4;e;112.5;e;114.4;e;112.5;e;100.0;e;40.0;e
;;;August;114.4;e;112.5;e;114.4;e;112.5;e;100.0;e;40.0;e
;;;September;114.4;e;112.5;e;114.4;e;112.5;e;100.0;e;40.0;e
;;;October;114.4;e;120.5;e;114.4;e;120.5;e;100.0;e;40.0;e
;;;November;114.4;e;121.7;e;114.4;e;121.7;e;100.0;e;40.0;e
;;;December;114.5;e;112.6;e;114.5;e;112.6;e;100.0;e;40.0;e
;;2024;January;115.5;e;113.6;e;115.5;e;113.6;e;100.0;e;40.0;e
;;;February;116.8;e;114.9;e;116.8;e;114.9;e;100.0;e;40.0;e
;;;March;118.3;e;117.1;e;118.3;e;117.1;e;100.0;e;40.0;e
;;;April;119.1;e;118.0;e;119.1;e;118.0;e;100.0;e;40.0;e
;;;May;122.6;e;131.1;e;122.6;e;131.1;e;100.0;e;40.0;e
;;;June;122.6;e;122.3;e;122.6;e;122.3;e;100.0;e;40.0;e
;;;July;123.1;e;121.5;e;123.1;e;121.5;e;100.0;e;40.0;e
;;;August;123.1;e;121.0;e;123.1;e;121.0;e;100.0;e;40.0;e
;;;September;123.6;e;121.6;e;123.6;e;121.6;e;100.0;e;40.0;e
;;;October;123.7;e;129.1;e;123.7;e;129.1;e;100.0;e;40.0;e
;;;November;123.7;e;131.5;e;123.7;e;131.5;e;100.0;e;40.0;e
;;;December;...;;...;;...;;...;;...;;...;
WZ08-81;Services to buildings and landscape activities;2010;January;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;February;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;March;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;April;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;May;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;June;81.9;e;107.4;e;81.9;e;107.4;e;100.0;e;39.0;e
;;;July;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;August;81.9;e;79.2;e;81.9;e;79.2;e;100.0;e;39.0;e
;;;September;82.1;e;79.4;e;82.1;e;79.4;e;100.0;e;39.0;e
;;;October;82.1;e;79.4;e;82.1;e;79.4;e;100.0;e;39.0;e
;;;November;82.1;e;87.9;e;82.1;e;87.9;e;100.0;e;39.0;e
;;;December;82.1;e;79.4;e;82.1;e;79.4;e;100.0;e;39.0;e
;;2011;January;82.6;e;80.7;e;82.6;e;80.7;e;100.0;e;39.0;e
;;;February;82.6;e;79.7;e;82.6;e;79.7;e;100.0;e;39.0;e
