Tabelle: 12612-0002
Live births: Germany, months, sex;;;;
Birth statistics;;;;;;;
Germany;;;;;;;
Live births (number);;;;;;;
;;Male;;Female;;Total;
;June;33609;e;31914;e;65523;e
;July;37041;e;35300;e;72341;e
;August;35886;e;33742;e;69628;e
;September;35985;e;34849;e;70834;e
;October;35038;e;33308;e;68346;e
;November;32239;e;30806;e;63045;e
;December;32244;e;30744;e;62988;e
1986;January;36092;e;34194;e;70286;e
;February;32929;e;31929;e;64858;e
;March;36056;e;34351;e;70407;e
;April;36747;e;34675;e;71422;e
;May;36820;e;34887;e;71707;e
;June;36301;e;33962;e;70263;e
;July;37850;e;36061;e;73911;e
;August;37441;e;35691;e;73132;e
;September;38737;e;36551;e;75288;e
;October;36449;e;35010;e;71459;e
;November;33570;e;31833;e;65403;e
;December;35909;e;34187;e;70096;e
1987;January;36824;e;34860;e;71684;e
;February;33835;e;32105;e;65940;e
;March;37506;e;35748;e;73254;e
;April;36371;e;34183;e;70554;e
;May;38401;e;35952;e;74353;e
;June;38873;e;36271;e;75144;e
;July;40467;e;37787;e;78254;e
;August;38884;e;36868;e;75752;e
;September;39145;e;36688;e;75833;e
;October;36381;e;34543;e;70924;e
;November;34428;e;32579;e;67007;e
;December;35556;e;33714;e;69270;e
1988;January;38597;e;36517;e;75114;e
;February;36463;e;34886;e;71349;e
;March;40007;e;38053;e;78060;e
;April;36287;e;34287;e;70574;e
;May;39308;e;37366;e;76674;e
;June;37574;e;35266;e;72840;e
;July;39883;e;37445;e;77328;e
;August;40345;e;38107;e;78452;e
;September;40338;e;38318;e;78656;e
;October;37395;e;35256;e;72651;e
;November;35810;e;33933;e;69743;e
;December;37044;e;34508;e;71552;e
1989;January;37352;e;35482;e;72834;e
;February;35654;e;33591;e;69245;e
;March;38413;e;36730;e;75143;e
;April;36557;e;34755;e;71312;e
;May;38645;e;36045;e;74690;e
;June;37356;e;35351;e;72707;e
;July;40219;e;38566;e;78785;e
;August;39951;e;37970;e;77921;e
;September;38310;e;36493;e;74803;e
;October;36860;e;35009;e;71869;e
;November;35409;e;33604;e;69013;e
;December;36860;e;35277;e;72137;e
1990;January;39234;e;36566;e;75800;e
;February;36029;e;34462;e;70491;e
;March;39674;e;36956;e;76630;e
;April;37435;e;35179;e;72614;e
;May;39290;e;37276;e;76566;e
;June;37519;e;35553;e;73072;e
;July;41660;e;39438;e;81098;e
;August;41787;e;39776;e;81563;e
;September;41315;e;39034;e;80349;e
;October;39337;e;37419;e;76756;e
;November;36269;e;34214;e;70483;e
;December;35830;e;34423;e;70253;e
1991;January;38031;e;35973;e;74004;e
;February;34060;e;32266;e;66326;e
;March;36410;e;34810;e;71220;e
;April;35147;e;33131;e;68278;e
;May;36050;e;34394;e;70444;e
;June;35707;e;33057;e;68764;e
;July;37951;e;36068;e;74019;e
;August;37087;e;35008;e;72095;e
;September;36931;e;35099;e;72030;e
;October;33731;e;32175;e;65906;e
;November;32314;e;30666;e;62980;e
;December;32679;e;31274;e;63953;e
1992;January;35636;e;33812;e;69448;e
;February;33973;e;32356;e;66329;e
;March;35256;e;33798;e;69054;e
;April;33213;e;31925;e;65138;e
;May;34485;e;33158;e;67643;e
;June;34577;e;32841;e;67418;e
;July;37326;e;35208;e;72534;e
;August;36600;e;34524;e;71124;e
;September;36228;e;34595;e;70823;e
;October;33091;e;31539;e;64630;e
;November;31490;e;29896;e;61386;e
;December;32932;e;30655;e;63587;e
1993;January;35537;e;34073;e;69610;e
;February;32408;e;30826;e;63234;e
;March;35206;e;33576;e;68782;e
;April;33527;e;31420;e;64947;e
;May;33721;e;31821;e;65542;e
;June;34543;e;32674;e;67217;e
;July;37064;e;34919;e;71983;e
;August;36284;e;34266;e;70550;e
;September;35860;e;34055;e;69915;e
;October;33279;e;31563;e;64842;e
;November;30972;e;29201;e;60173;e
;December;31670;e;29982;e;61652;e
1994;January;33328;e;31230;e;64558;e
;February;30938;e;28964;e;59902;e
;March;33835;e;31737;e;65572;e
;April;32863;e;31004;e;63867;e
;May;33736;e;31977;e;65713;e
;June;33661;e;31660;e;65321;e
;July;35173;e;32671;e;67844;e
;August;34318;e;32653;e;66971;e
;September;33514;e;32208;e;65722;e
;October;31945;e;30158;e;62103;e
;November;30659;e;29053;e;59712;e
;December;31899;e;30419;e;62318;e
1995;January;32995;e;30797;e;63792;e
;February;29935;e;29143;e;59078;e
;March;32931;e;31334;e;64265;e
;April;29693;e;28477;e;58170;e
;May;32011;e;29686;e;61697;e
;June;33492;e;31573;e;65065;e
;July;35583;e;33840;e;69423;e
;August;35244;e;33385;e;68629;e
;September;34431;e;32914;e;67345;e
;October;33708;e;32058;e;65766;e
;November;31332;e;29668;e;61000;e
;December;31374;e;29617;e;60991;e
1996;January;32691;e;31208;e;63899;e
;February;31892;e;30082;e;61974;e
;March;33349;e;31813;e;65162;e
;April;31623;e;30005;e;61628;e
;May;33092;e;31000;e;64092;e
;June;33889;e;31896;e;65785;e
;July;36898;e;34880;e;71778;e
;August;36667;e;34603;e;71270;e
;September;36565;e;34603;e;71168;e
;October;34821;e;33048;e;67869;e
;November;33175;e;31298;e;64473;e
;December;34551;e;32364;e;66915;e
1997;January;36208;e;34138;e;70346;e
;February;33225;e;31458;e;64683;e
;March;33768;e;32161;e;65929;e
;April;34525;e;32883;e;67408;e
;May;35634;e;33389;e;69023;e
;June;35704;e;33827;e;69531;e
;July;37883;e;35741;e;73624;e
;August;36393;e;34469;e;70862;e
;September;36147;e;34308;e;70455;e
;October;33966;e;32260;e;66226;e
;November;30755;e;29434;e;60189;e
;December;32798;e;31099;e;63897;e
1998;January;34276;e;32612;e;66888;e
;February;31550;e;29725;e;61275;e
;March;33666;e;31723;e;65389;e
;April;32997;e;31323;e;64320;e
;May;33116;e;31574;e;64690;e
;June;32804;e;30649;e;63453;e
;July;36978;e;34765;e;71743;e
;August;35592;e;34050;e;69642;e
;September;36009;e;34413;e;70422;e
;October;33067;e;31532;e;64599;e
;November;31155;e;29587;e;60742;e
;December;31655;e;30216;e;61871;e
1999;January;33757;e;31981;e;65738;e
;February;30745;e;29323;e;60068;e
;March;32707;e;31245;e;63952;e
;April;31843;e;29929;e;61772;e
;May;33898;e;31369;e;65267;e
;June;33633;e;31629;e;65262;e
;July;36073;e;34329;e;70402;e
;August;35307;e;33193;e;68500;e
;September;35111;e;33384;e;68495;e
;October;31861;e;30180;e;62041;e
;November;29756;e;28015;e;57771;e
;December;31605;e;29871;e;61476;e
2000;January;33931;e;31784;e;65715;e
;February;32025;e;30484;e;62509;e
;March;33116;e;31349;e;64465;e
;April;31467;e;29748;e;61215;e
;May;33270;e;31734;e;65004;e
;June;32533;e;30934;e;63467;e
;July;34741;e;32823;e;67564;e
;August;34921;e;33335;e;68256;e
;September;34034;e;32431;e;66465;e
;October;32410;e;30568;e;62978;e
;November;29919;e;28757;e;58676;e
;December;30956;e;29729;e;60685;e
2001;January;33013;e;30893;e;63906;e
;February;28724;e;26794;e;55518;e
;March;31258;e;29634;e;60892;e
;April;30418;e;28404;e;58822;e
;May;32474;e;30760;e;63234;e
;June;31489;e;29876;e;61365;e
;July;34248;e;32125;e;66373;e
;August;33576;e;32001;e;65577;e
;September;32164;e;30992;e;63156;e
;October;31341;e;29817;e;61158;e
;November;29441;e;27733;e;57174;e
;December;29440;e;27860;e;57300;e
2002;January;31362;e;29441;e;60803;e
;February;28460;e;27282;e;55742;e
;March;31052;e;29825;e;60877;e
;April;29601;e;28305;e;57906;e
;May;30297;e;28589;e;58886;e
;June;30421;e;28614;e;59035;e
;July;33536;e;31551;e;65087;e
;August;32759;e;30838;e;63597;e
;September;32597;e;30858;e;63455;e
;October;31439;e;29784;e;61223;e
;November;28451;e;26889;e;55340;e
;December;29302;e;27997;e;57299;e
2003;January;30177;e;28902;e;59079;e
;February;27431;e;26088;e;53519;e
;March;29550;e;27823;e;57373;e
;April;29053;e;27923;e;56976;e
;May;30361;e;28895;e;59256;e
;June;30499;e;28664;e;59163;e
;July;34048;e;31918;e;65966;e
;August;32153;e;30710;e;62863;e
;September;32594;e;31060;e;63654;e
;October;30337;e;28738;e;59075;e
;November;27646;e;26224;e;53870;e
;December;28860;e;27067;e;55927;e
2004;January;30669;e;28964;e;59633;e
;February;27981;e;26937;e;54918;e
;March;29070;e;27647;e;56717;e
;April;28786;e;26885;e;55671;e
;May;29118;e;27463;e;56581;e
;June;31068;e;29061;e;60129;e
;July;33680;e;31505;e;65185;e
;August;32876;e;31265;e;64141;e
;September;31980;e;30727;e;62707;e
;October;29875;e;28499;e;58374;e
;November;27964;e;26605;e;54569;e
;December;28950;e;28047;e;56997;e
2005;January;29464;e;27874;e;57338;e
;February;27285;e;25880;e;53165;e
;March;29106;e;27965;e;57071;e
;April;28614;e;27070;e;55684;e
;May;29093;e;27773;e;56866;e
;June;29869;e;28277;e;58146;e
;July;31768;e;29703;e;61471;e
;August;31520;e;29956;e;61476;e
;September;31052;e;29618;e;60670;e
;October;28911;e;27508;e;56419;e
;November;26933;e;25832;e;52765;e
;December;28142;e;26582;e;54724;e
2006;January;28560;e;26739;e;55299;e
;February;26275;e;25065;e;51340;e
;March;28375;e;27272;e;55647;e
;April;27031;e;25119;e;52150;e
;May;30005;e;28238;e;58243;e
;June;29077;e;27404;e;56481;e
;July;31221;e;29791;e;61012;e
;August;31093;e;29433;e;60526;e
;September;30966;e;29184;e;60150;e
;October;29392;e;28125;e;57517;e
;November;27036;e;25468;e;52504;e
;December;26785;e;25070;e;51855;e
2007;January;29346;e;27932;e;57278;e
;February;26262;e;24878;e;51140;e
;March;29045;e;27220;e;56265;e
;April;26342;e;24853;e;51195;e
;May;29195;e;27147;e;56342;e
;June;29527;e;27971;e;57498;e
;July;31628;e;30143;e;61771;e
;August;32313;e;30252;e;62565;e
;September;31635;e;30253;e;61888;e
;October;30441;e;29039;e;59480;e
;November;27839;e;26538;e;54377;e
;December;28266;e;26797;e;55063;e
2008;January;30041;e;28478;e;58519;e
;February;27211;e;26159;e;53370;e
;March;27302;e;25550;e;52852;e
;April;28123;e;26925;e;55048;e
;May;29504;e;27894;e;57398;e
;June;29916;e;28397;e;58313;e
;July;32360;e;30955;e;63315;e
;August;31235;e;29689;e;60924;e
;September;31541;e;29722;e;61263;e
;October;29186;e;27671;e;56857;e
;November;26345;e;25358;e;51703;e
;December;27098;e;25854;e;52952;e
2009;January;28275;e;26880;e;55155;e
;February;25607;e;24480;e;50087;e
;March;27284;e;26408;e;53692;e
;April;27422;e;25755;e;53177;e
;May;28059;e;26476;e;54535;e
;June;29152;e;27604;e;56756;e
;July;31964;e;30328;e;62292;e
;August;30812;e;29060;e;59872;e
;September;30618;e;28994;e;59612;e
;October;28134;e;26626;e;54760;e
;November;26427;e;24892;e;51319;e
;December;27495;e;26374;e;53869;e
2010;January;28302;e;26971;e;55273;e
;February;25632;e;24682;e;50314;e
;March;28310;e;27176;e;55486;e
;April;26832;e;25188;e;52020;e
;May;28682;e;27372;e;56054;e
;June;29604;e;27927;e;57531;e
;July;31706;e;30212;e;61918;e
;August;30600;e;29245;e;59845;e
;September;31297;e;29828;e;61125;e
;October;30339;e;28477;e;58816;e
;November;27852;e;26724;e;54576;e
;December;28081;e;26908;e;54989;e
2011;January;27983;e;26819;e;54802;e
;February;25915;e;24605;e;50520;e
;March;27579;e;25854;e;53433;e
;April;25449;e;24342;e;49791;e
;May;28403;e;26656;e;55059;e
;June;29298;e;27649;e;56947;e
;July;31365;e;29804;e;61169;e
;August;31324;e;29482;e;60806;e
;September;30648;e;29660;e;60308;e
;October;28613;e;27324;e;55937;e
;November;26389;e;25302;e;51691;e
;December;26933;e;25289;e;52222;e
2012;January;28042;e;26486;e;54528;e
;February;26302;e;24978;e;51280;e
;March;28042;e;26984;e;55026;e
;April;27494;e;25665;e;53159;e
;May;29222;e;27461;e;56683;e
;June;28662;e;26863;e;55525;e
;July;31343;e;30003;e;61346;e
;August;31482;e;30192;e;61674;e
